rank,name,genre,esrb_rating,platform,publisher,developer,global_sales,na_sales,pal_sales,jp_sales,other_sales,year,critic_score,user_score
3898,Heroes of Might & Magic III - HD Edition,Strategy,,PC,Unknown,DotEmu,0.59,,,,,2014,,
3899,Kane & Lynch 2: Dog Days,Shooter,M,PlayStation 3,Square Enix,IO Interactive,0.59,0.17,0.28,0.05,0.1,2010,,
3900,2002 FIFA World Cup,Sports,E,PlayStation 2,EA Sports,EA Canada,0.59,0.21,0.17,0.16,0.06,2002,73.0,5.6
3901,MVP Baseball 2004,Sports,E,Xbox,EA Sports,EA Sports,0.59,0.44,0.13,,0.02,2004,90.0,8.5
3902,Crash Bandicoot: The Wrath of Cortex,Platform,E,GameCube,Universal Interactive,Traveller's Tales,0.59,0.46,0.12,,0.02,2002,62.0,7.3
3903,Skylanders: SuperChargers,Action-Adventure,E10,Nintendo Wii U,Activision,Vicarious Visions,0.59,0.32,0.22,,0.05,2015,87.0,5.6
3904,Smurf: Rescue In Gargamel's Castle,Action,,Atari 2600,Coleco,Coleco,0.59,0.55,0.03,,0.01,1982,,
3905,Beijing 2008,Sports,E,Xbox 360,Sega,Eurocom Entertainment Software,0.59,0.15,0.38,,0.06,2008,,
3906,Pokemon Trozei!,Puzzle,E,Nintendo DS,Nintendo,Genius Sonority Inc.,0.59,0.25,0.0,0.31,0.02,2006,,
3907,Titanfall,Shooter,M,PC,Electronic Arts,Respawn Entertainment,0.59,0.24,0.31,,0.05,2014,86.0,6.2
3908,Assassin's Creed: Brotherhood,Action,M,PC,Ubisoft,Ubisoft Montreal,0.59,0.16,0.34,,0.09,2011,88.0,8.2
3909,Cave Story+,Platform,,PC,Studio Pixel,Studio Pixel,0.59,,,,,2011,,
3910,Extreme-G,Racing,E,Nintendo 64,Acclaim Entertainment,Probe Entertainment Limited,0.59,0.47,0.11,,0.01,1997,,
3911,Ready 2 Rumble Boxing,Sports,T,Nintendo 64,Midway Games,Point of View,0.59,0.47,0.11,,0.01,1999,,
3912,Yakuza 5,Adventure,,PlayStation 3,Sega,Sega,0.59,,,,,2015,83.0,8.5
3913,Spelling Challenges and more!,Misc,E,Nintendo DS,Crave Entertainment,Supersonic Software,0.59,0.54,0.0,,0.04,2007,,
3914,FaceRig,Simulation,,PC,Unknown,Holotech Studios,0.59,,,,,2007,,
3915,Killzone 2: DLC Bundle Pack,Shooter,M,PlayStation Network,Konami Digital Entertainment,Guerrilla Games,0.59,0.23,0.1,0.23,0.03,2015,,
3916,Dead or Alive Xtreme Beach Volleyball,Sports,M,Xbox,Tecmo,Team Ninja,0.59,0.36,0.08,0.14,0.02,2003,73.0,7.8
3917,Call of Duty: Black Ops,Shooter,T,Nintendo DS,Activision,n-Space,0.59,0.5,0.04,,0.04,2010,74.0,6.0
3918,Disney Sing It: Family Hits,Misc,E,Nintendo Wii,Disney Interactive Studios,Zoe Mode,0.59,0.38,0.17,,0.05,2010,,
3919,Tales of Rebirth,Role-Playing,,PlayStation 2,Namco,Namco Tales Studio,0.59,,,0.59,,2004,,
3920,XCOM: Enemy Unknown,Strategy,M,PlayStation 3,2K Games,Firaxis Games,0.59,0.25,0.24,,0.1,2012,89.0,8.2
3921,WarioWare D.I.Y.,Misc,E,Nintendo DS,Nintendo,Intelligent Systems,0.59,0.17,0.18,0.2,0.04,2010,82.0,8.7
3922,Shin Megami Tensei IV,Role-Playing,M,Nintendo 3DS,Atlus,Atlus,0.59,0.28,0.0,0.27,0.03,2013,83.0,8.3
3923,Silent Hill: Shattered Memories,Adventure,M,PlayStation 2,Konami,Climax Group,0.59,0.13,0.22,0.01,0.23,2010,77.0,6.8
