rank,name,genre,esrb_rating,platform,publisher,developer,global_sales,na_sales,pal_sales,jp_sales,other_sales,year,critic_score,user_score
500,Half-Life 2: Episode Two,Shooter,M,PC,Valve Software,Valve Corporation,3.28,,,,,2007,,
544,The Sims: Vacation,Simulation,T,PC,Electronic Arts,Maxis,3.07,1.72,1.21,,0.14,2002,75.0,7.8
561,Crysis,Shooter,M,PC,Electronic Arts,Crytek,3.0,,,,,2007,91.0,8.0
568,Warcraft II: Tides of Darkness,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,3.0,,,,,1996,,
572,The Sims: Livin Large,Misc,T,PC,Electronic Arts,Maxis,2.99,1.67,1.18,,0.13,2000,82.0,6.6
578,Super Meat Boy,Platform,T,PC,Unknown,Team Meat,2.97,,,,,2010,,
579,Star Wars: The Old Republic,Role-Playing,T,PC,Electronic Arts,BioWare / LucasArts,2.97,1.59,1.01,,0.37,2011,85.0,5.9
606,Subnautica,Adventure,E10,PC,Unknown Worlds Entertainment,Unknown Worlds Entertainment,2.87,,,,,2018,,
612,Prison Architect,Simulation,M,PC,Introversion Software,Introversion Software,2.86,,,,,2015,,
615,Command & Conquer: Red Alert,Strategy,T,PC,Virgin Interactive,Westwood Studios,2.85,1.37,1.34,,0.14,1996,,
618,The Walking Dead: A Telltale Games Series,Adventure,M,PC,Telltale Games,Telltale Games,2.85,,,,,2012,,
637,Trine 2,Platform,E10,PC,Frozenbyte,Frozenbyte,2.79,,,,,2011,84.0,8.4
649,Battlefield 3,Shooter,M,PC,Electronic Arts,Dice,2.76,0.89,1.44,,0.43,2011,89.0,7.5
650,The Binding of Isaac: Rebirth,Action,,PC,Nicalis,Nicalis,2.76,,,,,2014,,
663,Divinity: Original Sin,Misc,,PC,Focus Home Interactive,Unknown,2.71,,,,,2015,87.0,8.7
665,1602 A.D.,Simulation,,PC,Sunflowers,Max Design,2.7,,,,,2000,,
667,World of Warcraft: Mists of Pandaria,MMO,T,PC,Blizzard Entertainment,Blizzard Entertainment,2.7,,,,,2012,82.0,4.8
706,Hotline Miami,Action,,PC,Devolver Digital,Dennaton Games,2.58,,,,,2012,,
708,Bastion,Role-Playing,E10,PC,Warner Bros. Interactive Entertainment,Supergiant Games,2.58,,,,,2011,,
731,Diablo,Role-Playing,M,PC,Blizzard Entertainment,Blizzard Entertainment,2.5,,,,,1996,94.0,8.7
734,Far Cry,Shooter,M,PC,Ubisoft,Crytek,2.5,,,,,2004,89.0,8.1
737,Warcraft III: The Frozen Throne,Strategy,T,PC,Blizzard Entertainment,Blizzard Entertainment,2.5,,,,,2003,88.0,9.0
738,Rise of the Tomb Raider,Adventure,M,PC,Square Enix,Crystal Dynamics,2.49,,,,,2016,86.0,7.9
739,Dustforce DX,Platform,,PC,Hitbox Team,Hitbox Team,2.49,,,,,2012,,
744,Dungeon Defenders,Role-Playing,E10,PC,Trendy Entertainment,Trendy Entertainment,2.48,,,,,2011,81.0,7.3
754,Batman: Arkham City,Action,T,PC,Warner Bros. Interactive,Rocksteady Studios,2.47,,,,,2011,91.0,8.6
